De KM;Até KM; Custo KM/Eixo 
              1;             100;1,87
            101;             200;1,14
            201;             300;1
            301;             400;0,93
            401;             500;0,9
            501;             600;0,88
            601;             700;0,86
            701;             800;0,85
            801;             900;0,84
            901;          1000;0,83
         1001;          1100;0,83
         1101;          1200;0,82
         1201;          1300;0,82
         1301;          1400;0,82
         1401;          1500;0,81
         1501;          1600;0,81
         1601;          1700;0,81
         1701;          1800;0,81
         1801;          1900;0,8
         1901;          2000;0,8
         2001;          2100;0,8
         2101;          2200;0,8
         2201;          2300;0,8
         2301;          2400;0,8
         2401;          2500;0,8
         2501;          2600;0,8
         2601;          2700;0,8
         2701;          2800;0,79
         2801;          2900;0,79
         2901;          3000;0,79
