De KM;Até KM; Custo KM/Eixo 
     1;             100;1,64
            101;             200;0,91
            201;             300;0,77
            301;             400;0,71
            401;             500;0,67
            501;             600;0,65
            601;             700;0,63
            701;             800;0,62
            801;             900;0,61
            901;          1000;0,61
         1001;          1100;0,6
         1101;          1200;0,6
         1201;          1300;0,59
         1301;          1400;0,59
         1401;          1500;0,59
         1501;          1600;0,59
         1601;          1700;0,58
         1701;          1800;0,58
         1801;          1900;0,58
         1901;          2000;0,58
         2001;          2100;0,58
         2101;          2200;0,58
         2201;          2300;0,57
         2301;          2400;0,57
         2401;          2500;0,57
         2501;          2600;0,57
         2601;          2700;0,57
         2701;          2800;0,57
         2801;          2900;0,57
         2901;          3000;0,57
